Date,temperature_2m_min,temperature_2m_max,Day Temp (°C),Humidity (%),DayIndex,LR_Pred
2023-08-16,1.2,14.0,7.2,75.20833333333333,76,12.930810945238688
2023-08-17,6.6,12.9,9.3,75.0,77,12.991428623363259
2023-08-18,8.1,11.7,9.4,75.5,78,12.895429866914624
2023-08-19,9.0,16.1,12.6,75.0,79,13.020536665157572
2023-08-20,11.2,18.3,13.6,71.95833333333333,80,13.707620081574957
2023-08-21,10.5,16.3,13.6,79.75,81,11.99939332216687
2023-08-22,8.6,14.2,12.2,86.25,82,10.576761237568743
2023-08-23,5.5,16.6,10.4,75.66666666666667,83,12.931349045618475
2023-08-24,7.4,17.2,11.8,72.91666666666667,84,13.553943341917478
2023-08-25,9.8,19.5,12.9,75.125,85,13.080222596204061
2023-08-26,10.3,14.7,11.9,77.70833333333333,86,12.523587267481297
2023-08-27,8.3,14.3,10.8,87.58333333333333,87,10.354723935799086
2023-08-28,7.7,16.8,10.7,93.33333333333333,88,9.097921017219644
2023-08-29,9.5,19.4,14.7,76.16666666666667,89,12.90812039365562
2023-08-30,7.9,16.1,12.8,79.625,90,12.158017704577723
2023-08-31,6.6,14.4,10.7,80.20833333333333,91,12.043593485238123
2023-09-01,7.3,13.9,10.9,76.16666666666667,92,12.95178245634709
2023-09-02,3.0,16.3,9.5,83.0,93,11.455448520185104
2023-09-03,4.4,18.8,11.5,75.83333333333333,94,13.054592349705262
2023-09-04,10.4,21.1,14.8,66.04166666666667,95,15.234138260290822
2023-09-05,4.9,13.7,9.2,73.5,96,13.599613352446598
2023-09-06,5.0,18.0,11.6,63.333333333333336,97,15.862073846041502
2023-09-07,10.6,20.7,15.4,59.083333333333336,98,16.81632647437788
2023-09-08,7.4,10.6,9.1,71.83333333333333,99,14.011784672957372
2023-09-09,6.0,14.1,9.8,66.16666666666667,100,15.279270170440157
2023-09-10,7.8,14.8,10.8,80.20833333333333,101,12.189133694209687
2023-09-11,6.0,15.4,10.6,82.29166666666667,102,11.743051142832712
2023-09-12,9.0,22.1,14.2,70.33333333333333,103,14.401659088583369
2023-09-13,8.3,22.4,14.5,75.04166666666667,104,13.375174456140993
2023-09-14,9.7,22.8,16.8,68.0,105,14.946680091324705
2023-09-15,13.2,23.0,17.9,59.5,106,16.840631327100304
2023-09-16,10.2,23.0,16.7,60.708333333333336,107,16.588016136078465
2023-09-17,10.7,22.6,15.8,71.41666666666667,108,14.234898175486602
2023-09-18,11.3,18.0,14.1,83.91666666666667,109,11.485632762738984
2023-09-19,14.7,26.3,20.2,57.125,110,17.423973103081437
2023-09-20,8.8,16.8,14.3,65.0,111,15.697320880782387
2023-09-21,7.4,14.1,10.8,72.875,112,13.970668658483335
2023-09-22,6.0,14.3,10.3,73.70833333333333,113,13.800968050470843
2023-09-23,5.2,16.5,10.5,76.83333333333333,114,13.124567212956807
2023-09-24,6.7,22.7,14.6,69.83333333333333,115,14.686860116695035
2023-09-25,12.9,21.6,16.1,66.41666666666667,116,15.45685811612176
2023-09-26,7.6,16.6,12.3,75.75,117,13.407760293230822
2023-09-27,7.9,16.8,11.9,75.33333333333333,118,13.514441628582802
2023-09-28,6.5,18.6,12.7,76.29166666666667,119,13.317102826233858
2023-09-29,6.5,27.5,17.0,54.375,120,18.17755358745485
2023-09-30,15.4,27.0,20.8,36.083333333333336,121,22.236496712918854
2023-10-01,9.7,21.3,17.5,49.291666666666664,122,19.330614865598037
2023-10-02,5.8,26.6,17.2,59.208333333333336,123,17.15253880247034
2023-10-03,11.9,23.6,17.0,77.33333333333333,124,13.159554644582578
2023-10-04,10.9,12.9,11.9,80.95833333333333,125,12.372601029722748
2023-10-05,7.8,16.4,12.0,72.58333333333333,126,14.238914071161904
2023-10-06,9.0,14.1,11.7,66.125,127,15.681441466108858
2023-10-07,8.7,13.7,11.4,66.83333333333333,128,15.53937905243281
2023-10-08,4.3,15.4,10.4,75.875,129,13.554770349660245
2023-10-09,6.5,15.1,10.9,78.79166666666667,130,12.924433169373623
2023-10-10,7.4,15.9,11.8,79.375,131,12.810008950034025
2023-10-11,5.8,23.9,16.0,67.70833333333333,132,15.404127775666302
2023-10-12,10.6,19.5,14.5,68.625,133,15.21600170476284
2023-10-13,10.1,15.6,12.9,77.79166666666667,134,13.203754807653828
2023-10-14,11.0,17.2,14.0,70.33333333333333,135,14.867387757292368
